,hit_id,sample_id,subject_id,ref_id
32,UERO01.11922.1_1/1-118,SAMN06115397,SAMN06115397,S246
33,UERO01.20183.1_2/11-91,SAMN06115397,SAMN06115397,S247
34,OPAP01.30399.1_1/1-90,SAMEA1967055,NA,NA
35,OURY01.49778.1_1/1-252,SAMEA2338638,NA,S312
36,OYXC01.9658.1_1/11-266,SAMN06165016,40006207,S248
37,OYXC01.9658.1_2/1-228,SAMN06165016,40006207,NA
38,USZA01.13236.1_3/38-305,SAMN06112073,SAMN06112073,S317
39,USZA01.18536.1_1/63-204,SAMN06112073,SAMN06112073,NA
40,USZA01.41154.1_2/6-173,SAMN06112073,SAMN06112073,S344
41,USZA01.16685.1_1/1-148,SAMN06112073,SAMN06112073,NA
42,USZA01.41154.1_1/3-156,SAMN06112073,SAMN06112073,NA
43,USZA01.130730.1_2/1-109,SAMN06112073,SAMN06112073,S350
44,UZLQ01.611.1_10/64-437,SAMN00715227,SAMN00715227,S9
45,UZLQ01.611.1_9/1-253,SAMN00715227,SAMN00715227,S63
46,UPRH01.19723.1_1/11-266,SAMEA2737760,NA,S63
47,UPMW01.3186.1_8/63-436,SAMEA2737879,C22,S351
48,UPMW01.3186.1_7/11-266,SAMEA2737879,C22,S352
49,OYQB01.459.1_1/46-393,SAMN06165467,16485541,S232
50,OYQB01.459.1_2/7-240,SAMN06165467,16485541,S353
51,OYQB01.5101.1_1/1-213,SAMN06165467,16485541,NA
52,CAAELL01.26.1_14/62-435,SAMEA5280031,NA,S362
53,CAAELL01.26.1_13/11-266,SAMEA5280031,NA,S363
54,UPMM01.15656.1_2/63-436,SAMEA2737839,NA,S364
55,UPMM01.15656.1_1/11-112,SAMEA2737839,NA,S16
56,ORIF01.8853.1_1/63-390,SAMN04329858,NA,NA
57,ORIF01.8035.1_2/50-394,SAMN04329858,NA,S365
58,ORIF01.7405.1_1/8-243,SAMN04329858,NA,S366
59,OYKH01.90.1_2/39-412,SAMN06165444,14175675,S9
60,OYKH01.90.1_1/11-266,SAMN06165444,14175675,S63
61,OYKH01.3199.1_1/23-192,SAMN06165444,14175675,NA
62,OYKH01.1193.1_1/1-93,SAMN06165444,14175675,NA
63,OYKH01.1882.1_2/1-127,SAMN06165444,14175675,NA
64,OYKH01.1882.1_1/6-125,SAMN06165444,14175675,NA
65,ULQH01.22774.1_1/1-246,SAMEA4835653,SAMEA4835653,NA
66,UMCV01.52177.1_1/1-141,SAMEA4835976,SAMEA4835976,NA
67,CABRAA01.133.1_7/53-398,SAMEA5850570,NA,S395
68,CABRAA01.133.1_8/5-240,SAMEA5850570,NA,S396
69,UPLS01.22663.1_4/63-190,SAMEA2737864,NA,NA
70,OXJK01.30384.1_1/2-184,SAMN05826969,T004341,NA
71,UPQN01.3.1_186/62-435,SAMEA2737804,NA,S418
72,UPQN01.3.1_187/11-266,SAMEA2737804,NA,S419
73,UPQN01.66372.1_1/8-172,SAMEA2737804,NA,S420
74,USWG01.18375.1_1/2-243,SAMN06111996,SAMN06111996,S35
75,USWG01.37789.1_1/64-205,SAMN06111996,SAMN06111996,NA
76,UZHZ01.1361.1_5/64-437,SAMN00791913,SAMN00791913,S9
77,UZHZ01.1361.1_6/11-266,SAMN00791913,SAMN00791913,S17
78,WGVM01.188.1_1/63-417,SAMN12905038,NA,S399
79,OZKV01.8779.1_1/64-430,SAMN06165244,70995736,S421
80,OZZL01.7074.1_1/28-293,SAMN06165153,51006340,S422
81,CAJLMI01.293.1_1/1-341,SAMEA7847400,NA,S423
82,CAJLMI01.293.1_2/7-240,SAMEA7847400,NA,S424
83,OYGB01.157.1_1/92-465,SAMN06165590,30733891,S351
84,OYGB01.116.1_5/55-399,SAMN06165590,30733891,S425
85,OYGB01.157.1_2/11-266,SAMN06165590,30733891,S352
86,OYGB01.116.1_4/5-240,SAMN06165590,30733891,S426
87,OYGB01.5309.1_2/1-128,SAMN06165590,30733891,NA
88,OQPZ01.68446.1_1/2-197,SAMN02712189,NA,S446
89,OWBQ01.8.1_53/62-435,SAMEA3708561,SAMEA3708561,S447
90,OWBQ01.8.1_52/11-266,SAMEA3708561,SAMEA3708561,S419
91,OPWH01.12327.1_1/62-157,SAMEA2043049,NA,S448
92,OWQQ01.8304.1_2/63-436,SAMEA4378285,SAMEA4378285,S318
93,OWQQ01.8304.1_3/11-266,SAMEA4378285,SAMEA4378285,S249
94,OYKR01.283.1_2/97-470,SAMN06165504,18184323,S9
95,OYKR01.283.1_1/11-266,SAMN06165504,18184323,S63
96,ORRD01.1201.1_14/52-400,SAMEA2338677,NA,S449
97,UZNL01.14334.1_1/62-250,SAMN00715143,SAMN00715143,S450
98,ULSH01.35401.1_1/2-238,SAMEA4835702,SAMEA4835702,NA
99,UYDM01.8511.1_2/63-436,SAMEA2151439,SAMEA2151439,S452
100,UYDM01.8511.1_3/11-266,SAMEA2151439,SAMEA2151439,S453
101,OQQY01.70848.1_1/1-202,SAMN02711295,A,NA
102,OQQY01.63187.1_2/11-158,SAMN02711295,A,S18
103,OQQY01.71910.1_1/1-113,SAMN02711295,A,NA
104,OVYG01.1315.1_12/64-437,SAMEA3708462,SAMEA3708462,S9
105,OVYG01.1315.1_13/11-266,SAMEA3708462,SAMEA3708462,S63
106,UXRB01.19263.1_2/11-266,SAMEA2155512,SAMEA2155512,S250
107,UXRB01.19263.1_3/1-286,SAMEA2155512,SAMEA2155512,NA
108,UXRB01.66584.1_2/63-175,SAMEA2155512,SAMEA2155512,NA
109,OZZQ01.3100.1_3/27-294,SAMN06165154,51006340,S493
110,OZZQ01.2726.1_4/28-293,SAMN06165154,51006340,S422
111,UPMR01.3615.1_10/63-436,SAMEA2737866,NA,S494
112,UPMR01.3615.1_4/63-436,SAMEA2737866,NA,S494
113,UPMR01.3615.1_3/11-266,SAMEA2737866,NA,S251
114,UPMR01.3615.1_9/11-266,SAMEA2737866,NA,S251
115,UPMR01.66066.1_2/2-136,SAMEA2737866,NA,S495
116,UPMR01.66066.1_1/11-108,SAMEA2737866,NA,NA
117,OWSK01.6388.1_2/63-436,SAMEA4378329,SAMEA4378329,S319
118,OWSK01.6388.1_1/11-264,SAMEA4378329,SAMEA4378329,S496
119,OWSK01.6388.1_6/1-82,SAMEA4378329,SAMEA4378329,NA
120,CAABUQ01.5070.1_1/1-247,SAMN00691554,NA,NA
121,CAABUQ01.18604.1_1/2-161,SAMN00691554,NA,S502
122,OWEA01.6517.1_3/63-436,SAMEA3708617,SAMEA3708617,S397
123,OWEA01.6517.1_2/11-266,SAMEA3708617,SAMEA3708617,S503
124,UZIE01.3608.1_5/64-437,SAMN00791944,SAMN00791944,S9
125,UZIE01.3608.1_6/11-266,SAMN00791944,SAMN00791944,S63
126,ORVI01.27023.1_1/64-438,SAMEA2338833,NA,S1
127,ORVI01.27023.1_2/11-108,SAMEA2338833,NA,S504
128,ULXL01.46695.1_1/1-339,SAMEA4835837,SAMEA4835837,S505
129,ULXL01.61062.1_1/1-115,SAMEA4835837,SAMEA4835837,NA
130,ULXL01.46695.1_2/11-123,SAMEA4835837,SAMEA4835837,NA
131,ULXL01.82817.1_2/27-294,SAMEA4835837,SAMEA4835837,S493
132,OWGR01.71931.1_2/11-87,SAMEA3708494,SAMEA3708494,NA
133,OYRO01.1954.1_1/43-233,SAMN06165543,19498608,NA
134,ULRD01.28831.1_1/1-232,SAMEA4835675,SAMEA4835675,NA
135,ULRD01.52017.1_1/11-152,SAMEA4835675,SAMEA4835675,NA
136,ULRD01.35842.1_2/63-146,SAMEA4835675,SAMEA4835675,NA
137,UEYE01.11137.1_2/64-437,SAMN06115512,SAMN06115512,S568
138,UEYE01.31469.1_1/1-298,SAMN06115512,SAMN06115512,S569
139,UEYE01.14975.1_1/1-230,SAMN06115512,SAMN06115512,S475
140,UEYE01.11137.1_1/11-212,SAMN06115512,SAMN06115512,S570
141,UMHE01.11170.1_4/55-428,SAMEA4836090,SAMEA4836090,S447
142,UMHE01.11170.1_3/11-266,SAMEA4836090,SAMEA4836090,S419
143,OQXB01.18.1_117/53-401,SAMN04161035,SAMN04161035,S571
144,OQXB01.18.1_116/4-240,SAMN04161035,SAMN04161035,S572
145,ORCJ01.30263.1_1/1-206,SAMN06115435,SAMN06115435,S573
146,ORWY01.1258.1_16/64-437,SAMEA2338866,NA,S9
147,ORWY01.1258.1_15/11-266,SAMEA2338866,NA,S63
148,ORWY01.341.1_49/11-266,SAMEA2338866,NA,S574
149,ORWY01.95422.1_1/1-223,SAMEA2338866,NA,NA
150,ORWY01.114984.1_1/1-122,SAMEA2338866,NA,NA
151,ORWY01.1188.1_20/63-146,SAMEA2338866,NA,NA
152,ORWY01.113268.1_2/1-119,SAMEA2338866,NA,S586
153,ORWY01.341.1_50/1-101,SAMEA2338866,NA,NA
154,OWSN01.3025.1_6/11-266,SAMEA4378267,SAMEA4378267,S19
155,OWSN01.4779.1_1/64-165,SAMEA4378267,SAMEA4378267,NA
156,OZPB01.8102.1_2/2-283,SAMN06164804,17997838,NA
157,OZPB01.8102.1_1/11-266,SAMN06164804,17997838,S595
158,UZPQ01.2536.1_3/64-437,SAMN00791950,SAMN00791950,S9
159,UZPQ01.2536.1_4/11-266,SAMN00791950,SAMN00791950,S63
160,UMHG01.13160.1_5/64-437,SAMEA4836092,SAMEA4836092,S9
161,UMHG01.13160.1_6/11-178,SAMEA4836092,SAMEA4836092,NA
162,UPPQ01.16932.1_2/1-246,SAMEA2737763,NA,NA
163,UPPQ01.49344.1_1/11-149,SAMEA2737763,NA,NA
164,UZHX01.6273.1_1/64-252,SAMN00791942,SAMN00791942,NA
165,UZHX01.36896.1_2/11-126,SAMN00791942,SAMN00791942,NA
166,UYDJ01.9802.1_3/63-436,SAMEA2144396,SAMEA2144396,S598
167,UYDJ01.9802.1_4/11-266,SAMEA2144396,SAMEA2144396,S251
168,OQHC01.18290.1_4/11-121,SAMD00036207,NA,NA
169,OQHC01.18290.1_1/17-124,SAMD00036207,NA,S599
170,OQHC01.18290.1_3/1-96,SAMD00036207,NA,NA
171,CABQGW01.433.1_2/2-344,SAMEA5850071,NA,S606
172,CABQGW01.433.1_1/11-98,SAMEA5850071,NA,S607
173,UZTU01.1044.1_16/64-437,SAMN00792072,SAMN00792072,S9
174,UZTU01.1044.1_15/11-266,SAMN00792072,SAMN00792072,S63
175,ORHZ01.1504.1_5/53-398,SAMN04329852,NA,S608
176,ORHZ01.1504.1_4/5-240,SAMN04329852,NA,S609
177,ORHZ01.22362.1_1/18-219,SAMN04329852,NA,S610
178,ORHZ01.9796.1_5/7-91,SAMN04329852,NA,S611
179,OQDZ01.8857.1_2/2-188,SAMD00036330,NA,NA
180,OQDZ01.8857.1_5/11-124,SAMD00036330,NA,NA
181,OQDZ01.8857.1_4/1-96,SAMD00036330,NA,NA
182,OQDZ01.8857.1_6/1-56,SAMD00036330,NA,S621
183,ORPW01.19403.1_2/63-436,SAMEA2338703,SAMEA2338703,S505
184,ORPW01.41734.1_1/1-134,SAMEA2338703,SAMEA2338703,NA
185,ORPW01.19403.1_3/11-125,SAMEA2338703,SAMEA2338703,NA
186,ORPW01.3088.1_4/27-294,SAMEA2338703,SAMEA2338703,S493
187,OYNT01.492.1_1/63-436,SAMN06165591,30733891,S351
188,OYNT01.275.1_5/53-397,SAMN06165591,30733891,S425
189,OYNT01.492.1_2/11-266,SAMN06165591,30733891,S352
190,OYNT01.275.1_4/5-240,SAMN06165591,30733891,S426
191,OYNT01.3576.1_1/6-165,SAMN06165591,30733891,S622
192,OYNT01.3576.1_2/1-98,SAMN06165591,30733891,S350
193,ORJZ01.439.1_2/50-397,SAMN04329869,NA,S365
194,ORJZ01.439.1_3/7-240,SAMN04329869,NA,S623
195,ORJZ01.5073.1_1/63-299,SAMN04329869,NA,S614
196,ORJZ01.3824.1_2/1-203,SAMN04329869,NA,NA
197,ORJZ01.4803.1_1/23-242,SAMN04329869,NA,S628
198,ORJZ01.17253.1_1/2-182,SAMN04329869,NA,S629
199,ORJZ01.16040.1_1/2-139,SAMN04329869,NA,NA
200,OYSQ01.319.1_2/64-437,SAMN06165573,20069333,S9
201,OYSQ01.319.1_1/11-266,SAMN06165573,20069333,S63
202,OYGH01.1486.1_1/7-240,SAMN06165636,50176181,S353
203,UPSY01.5787.1_5/64-437,SAMN06111932,SAMN06111932,S9
204,UPSY01.8712.1_5/1-204,SAMN06111932,SAMN06111932,NA
205,OWDJ01.5587.1_5/64-437,SAMEA3708596,SAMEA3708596,S9
206,OWDJ01.5587.1_6/11-266,SAMEA3708596,SAMEA3708596,S17
207,OWDJ01.86815.1_2/1-127,SAMEA3708596,SAMEA3708596,NA
208,OQSJ01.28389.1_1/2-375,SAMN05214696,SAMN05214696,S540
209,OUOT01.25188.1_1/1-370,SAMN05356872,SAMN05356872,S634
210,OUOT01.21243.1_2/10-265,SAMN05356872,SAMN05356872,S251
211,OUOT01.6296.1_6/3-237,SAMN05356872,SAMN05356872,S138
212,OUOT01.9751.1_1/1-182,SAMN05356872,SAMN05356872,NA
213,OUOT01.9751.1_2/1-73,SAMN05356872,SAMN05356872,S636
214,JAJCHC01.8.1_78/51-400,SAMN22167639,NA,S637
215,JAJCHC01.8.1_77/2-235,SAMN22167639,NA,S638
216,OQMR01.18366.1_2/63-436,SAMD00036432,SAMD00036432,S639
217,OQMR01.48524.1_2/1-75,SAMD00036432,SAMD00036432,S640
218,ORTV01.8208.1_2/64-437,SAMEA2338810,NA,S139
219,ORTV01.18253.1_2/11-266,SAMEA2338810,NA,S641
220,ORTV01.8208.1_1/11-123,SAMEA2338810,NA,NA
221,USYV01.24307.1_2/1-126,SAMN06112049,SAMN06112049,S642
222,UEPT01.68.1_13/64-437,SAMN06115510,SAMN06115510,S9
223,UEPT01.33940.1_1/1-286,SAMN06115510,SAMN06115510,NA
224,UEPT01.68.1_14/11-266,SAMN06115510,SAMN06115510,S63
225,UEPT01.39222.1_1/63-219,SAMN06115510,SAMN06115510,S647
226,UEPT01.24653.1_1/100-231,SAMN06115510,SAMN06115510,S648
227,OWRK01.2906.1_5/64-437,SAMEA4378258,SAMEA4378258,S9
228,OWRK01.2906.1_6/11-266,SAMEA4378258,SAMEA4378258,S17
229,UPOY01.1248.1_25/63-436,SAMEA2737776,NA,S612
230,UPOY01.1248.1_26/11-266,SAMEA2737776,NA,S624
231,UERT01.182.1_12/64-437,SAMN06115458,SAMN06115458,S9
232,UERT01.182.1_13/11-266,SAMN06115458,SAMN06115458,S63
233,OYGO01.100.1_3/64-437,SAMN06165512,18628150,S447
234,OYGO01.100.1_2/11-266,SAMN06165512,18628150,S419
235,OYGO01.1099.1_2/11-258,SAMN06165512,18628150,NA
236,OYGO01.2020.1_1/1-206,SAMN06165512,18628150,NA
237,ORCK01.92.1_13/64-437,SAMN06115433,SAMN06115433,S9
238,ORCK01.92.1_14/11-266,SAMN06115433,SAMN06115433,S63
239,UYCC01.33328.1_1/2-231,SAMEA2143633,SAMEA2143633,S650
240,UYCC01.33328.1_2/4-89,SAMEA2143633,SAMEA2143633,S651
241,OWCG01.7792.1_1/64-125,SAMEA3708541,SAMEA3708541,NA
242,ULTH01.29009.1_1/1-280,SAMEA4835729,SAMEA4835729,S670
243,ULTH01.29659.1_1/11-198,SAMEA4835729,SAMEA4835729,S671
244,ULTH01.8827.1_2/63-146,SAMEA4835729,SAMEA4835729,NA
245,ULTH01.31779.1_1/63-146,SAMEA4835729,SAMEA4835729,NA
246,ULTH01.23905.1_1/1-81,SAMEA4835729,SAMEA4835729,NA
247,OQQV01.41285.1_1/4-282,SAMN02712160,NA,S140
248,OQQV01.78867.1_1/1-93,SAMN02712160,NA,NA
249,OXWL01.18943.1_1/1-94,SAMN06164455,10807867,S767
250,UXRN01.18091.1_2/63-436,SAMEA2144304,SAMEA2144304,S318
251,UXRN01.36488.1_3/50-216,SAMEA2144304,SAMEA2144304,NA
252,UXRN01.76753.1_1/1-155,SAMEA2144304,SAMEA2144304,S771
253,UXRN01.18091.1_1/11-148,SAMEA2144304,SAMEA2144304,NA
254,UXRN01.78146.1_2/1-127,SAMEA2144304,SAMEA2144304,NA
255,UXRN01.78146.1_1/6-84,SAMEA2144304,SAMEA2144304,NA
256,OWSA01.10010.1_2/53-397,SAMEA4378328,SAMEA4378328,S780
257,OWSA01.10010.1_3/5-240,SAMEA4378328,SAMEA4378328,S781
258,OVFL01.784.1_15/64-437,SAMN06016342,SAMN06016342,S2
259,OVFL01.784.1_14/11-266,SAMN06016342,SAMN06016342,S17
260,ORUZ01.72367.1_1/1-171,SAMEA2338804,NA,NA
261,ORUZ01.25874.1_2/6-139,SAMEA2338804,NA,NA
262,ORUZ01.68254.1_2/11-129,SAMEA2338804,NA,S20
263,ORUZ01.41283.1_2/57-175,SAMEA2338804,NA,S784
264,ULUJ01.93488.1_1/1-207,SAMEA4835757,SAMEA4835757,S785
265,ULUJ01.86331.1_1/1-123,SAMEA4835757,SAMEA4835757,NA
266,OXOK01.726.1_1/103-476,SAMN05826746,E015378,S9
267,OXOK01.726.1_2/11-266,SAMN05826746,E015378,S63
268,ORMC01.19464.1_1/11-108,SAMN04329816,NA,NA
269,ORMC01.19464.1_2/1-123,SAMN04329816,NA,S795
270,OPYT01.3019.1_4/11-266,SAMD00036228,NA,S17
271,OPYT01.3019.1_5/19-277,SAMD00036228,NA,S3
272,ORNY01.19979.1_2/64-238,SAMEA2338696,NA,S209
273,ORNY01.19161.1_3/1-107,SAMEA2338696,NA,S744
274,ORNY01.47016.1_2/11-118,SAMEA2338696,NA,NA
275,OUQF01.46913.1_1/3-244,SAMN05194701,SAMN05194701,S796
276,OYUI01.1891.1_1/1-297,SAMN06165690,70863791,NA
277,OYUI01.2915.1_1/6-186,SAMN06165690,70863791,S777
278,OYUI01.6852.1_1/22-173,SAMN06165690,70863791,NA
279,OYUI01.3132.1_1/1-132,SAMN06165690,70863791,S745
280,OYUI01.2915.1_2/1-112,SAMN06165690,70863791,NA
281,OYUI01.1891.1_2/11-95,SAMN06165690,70863791,S797
282,ORKN01.10695.1_1/1-285,SAMN04329856,NA,S798
283,OWSU01.53326.1_1/1-289,SAMEA4378292,SAMEA4378292,NA
284,OWSU01.23308.1_2/11-266,SAMEA4378292,SAMEA4378292,S17
285,OWSU01.4362.1_12/1-208,SAMEA4378292,SAMEA4378292,NA
286,OWSU01.23308.1_1/1-124,SAMEA4378292,SAMEA4378292,NA
287,OWSU01.87676.1_1/1-101,SAMEA4378292,SAMEA4378292,NA
288,OWSU01.87844.1_1/1-101,SAMEA4378292,SAMEA4378292,NA
289,OWSU01.87844.1_2/11-75,SAMEA4378292,SAMEA4378292,NA
290,UBVR01.17981.1_1/11-265,SAMEA4431962,SAMEA4431962,S63
291,UBVR01.17981.1_2/1-231,SAMEA4431962,SAMEA4431962,NA
292,UPPW01.159.1_46/62-435,SAMEA2737743,NA,S447
293,UPPW01.159.1_45/11-266,SAMEA2737743,NA,S363
294,UPNB01.100192.1_1/1-170,SAMEA2737848,NA,NA
295,UPNB01.98920.1_1/1-172,SAMEA2737848,NA,S845
296,OYUV01.381.1_1/63-436,SAMN06165682,70572554,S129
297,OYUV01.655.1_2/1-338,SAMN06165682,70572554,NA
298,OYUV01.655.1_1/11-266,SAMN06165682,70572554,S17
299,OYUV01.381.1_2/11-266,SAMN06165682,70572554,S846
300,OWCI01.4612.1_5/64-437,SAMEA3708670,SAMEA3708670,S9
301,OWCI01.30854.1_1/57-346,SAMEA3708670,SAMEA3708670,NA
302,OWCI01.296.1_2/11-266,SAMEA3708670,SAMEA3708670,S847
303,OWCI01.4612.1_4/11-266,SAMEA3708670,SAMEA3708670,S21
304,OWCI01.296.1_1/1-101,SAMEA3708670,SAMEA3708670,NA
305,OWCI01.68494.1_2/1-101,SAMEA3708670,SAMEA3708670,NA
306,OWCI01.68494.1_1/11-75,SAMEA3708670,SAMEA3708670,NA
307,OZUZ01.24779.1_1/6-86,SAMN06164889,19400493,S848
308,UYDZ01.26636.1_2/64-139,SAMEA1972188,SAMEA1972188,S849
309,UPXD01.691.1_24/64-437,SAMN06112021,SAMN06112021,S9
310,UPXD01.2.1_99/62-435,SAMN06112021,SAMN06112021,S652
311,UPXD01.691.1_23/11-266,SAMN06112021,SAMN06112021,S63
312,UPXD01.2.1_100/11-266,SAMN06112021,SAMN06112021,S363
313,UPXD01.109038.1_1/1-138,SAMN06112021,SAMN06112021,NA
314,UMCG01.31402.1_1/1-347,SAMEA4835963,SAMEA4835963,S631
315,UMCG01.63482.1_1/1-174,SAMEA4835963,SAMEA4835963,S855
316,UMCG01.65871.1_1/2-99,SAMEA4835963,SAMEA4835963,NA
317,ORKP01.88433.1_1/2-175,SAMN04329774,SAMN04329774,S856
318,UYFG01.62741.1_1/5-119,SAMEA2152531,SAMEA2152531,S396
319,UYFG01.62741.1_2/1-100,SAMEA2152531,SAMEA2152531,S395
320,OYRM01.1253.1_1/64-397,SAMN06165663,60238506,S653
321,OYRM01.1554.1_2/1-238,SAMN06165663,60238506,NA
322,UPML01.16805.1_1/51-424,SAMEA2737860,NA,S494
323,UPML01.16805.1_2/11-266,SAMEA2737860,NA,S786
324,OYPS01.3119.1_1/1-196,SAMN06165490,17086721,NA
325,OYPS01.5754.1_2/1-123,SAMN06165490,17086721,NA
326,OWSH01.22541.1_1/32-302,SAMEA4378310,SAMEA4378310,S860
327,OWSH01.22541.1_2/11-100,SAMEA4378310,SAMEA4378310,NA
328,OWSH01.27182.1_1/62-135,SAMEA4378310,SAMEA4378310,NA
329,OYUU01.401.1_2/52-399,SAMN06165710,71936712,S423
330,OYUU01.401.1_3/7-240,SAMN06165710,71936712,S424
331,ORRQ01.6132.1_4/63-436,SAMEA2338628,NA,S320
332,ORRQ01.6132.1_3/11-266,SAMEA2338628,NA,S819
333,ORRQ01.63687.1_2/11-143,SAMEA2338628,NA,NA
334,ORRQ01.63687.1_1/1-131,SAMEA2338628,NA,NA
335,OWHK01.3364.1_5/62-435,SAMN04480494,SAMN04480494,S447
336,OWHK01.3364.1_6/11-266,SAMN04480494,SAMN04480494,S862
337,UXRK01.9861.1_1/63-436,SAMEA2151703,SAMEA2151703,S376
338,UXRK01.9861.1_2/11-266,SAMEA2151703,SAMEA2151703,S712
339,JAJXMQ01.202.1_1/63-396,SAMN23483689,NA,S398
340,JAJXMQ01.382.1_2/11-266,SAMN23483689,NA,S820
341,USXT01.2736.1_8/63-436,SAMN06112091,SAMN06112091,S672
342,USXT01.2736.1_4/63-436,SAMN06112091,SAMN06112091,S672
343,USXT01.2736.1_3/11-266,SAMN06112091,SAMN06112091,S863
344,USXT01.2736.1_7/11-266,SAMN06112091,SAMN06112091,S863
345,USXT01.92640.1_1/4-163,SAMN06112091,SAMN06112091,S850
346,OYHX01.1232.1_1/64-437,SAMN06165348,10057608,S9
347,OYHX01.1232.1_2/11-266,SAMN06165348,10057608,S63
348,ORST01.20553.1_2/64-437,SAMEA2338652,SAMEA2338652,S141
349,ORST01.37900.1_2/11-157,SAMEA2338652,SAMEA2338652,S864
350,ORST01.52934.1_1/1-115,SAMEA2338652,SAMEA2338652,NA
351,ORST01.37900.1_1/1-130,SAMEA2338652,SAMEA2338652,NA
352,ORST01.20553.1_3/11-96,SAMEA2338652,SAMEA2338652,NA
353,ORNB01.49681.1_1/1-113,SAMEA2338705,NA,NA
354,CAABIR01.22735.1_1/1-184,SAMN00990340,NA,NA
355,OYTK01.888.1_1/1-256,SAMN06165529,19061811,NA
356,OUOE01.124641.1_1/1-72,SAMN04158622,NA,NA
357,UEOE01.198.1_13/64-437,SAMN06115439,SAMN06115439,S9
358,UEOE01.198.1_14/11-266,SAMN06115439,SAMN06115439,S63
359,OWEW01.429.1_22/64-437,SAMEA3708657,SAMEA3708657,S9
360,OWEW01.429.1_21/11-266,SAMEA3708657,SAMEA3708657,S17
361,ORNE01.24213.1_2/64-170,SAMEA2338726,NA,NA
362,OWFW01.9811.1_2/64-437,SAMEA3708545,SAMEA3708545,S142
363,OWFW01.5308.1_2/11-266,SAMEA3708545,SAMEA3708545,S63
364,OWFW01.9811.1_1/11-266,SAMEA3708545,SAMEA3708545,S499
365,OVYP01.3.1_182/62-435,SAMEA3708580,SAMEA3708580,S451
366,OVYP01.3.1_183/11-266,SAMEA3708580,SAMEA3708580,S419
367,UMLK01.30077.1_2/1-228,SAMEA4836198,SAMEA4836198,NA
368,UMLK01.81055.1_1/11-152,SAMEA4836198,SAMEA4836198,NA
369,UMLK01.36607.1_1/63-155,SAMEA4836198,SAMEA4836198,NA
370,UXRS01.32882.1_2/11-266,SAMEA2151010,SAMEA2151010,S902
371,UXRS01.71017.1_1/63-127,SAMEA2151010,SAMEA2151010,NA
372,OUOV01.53054.1_1/1-103,SAMN05356884,NA,NA
373,ORTS01.11589.1_2/62-435,SAMEA2338852,NA,S654
374,ORTS01.11589.1_1/11-266,SAMEA2338852,NA,S363
375,ORTS01.45579.1_2/1-207,SAMEA2338852,NA,S910
376,ORTS01.45579.1_1/11-127,SAMEA2338852,NA,NA
377,OYUC01.318.1_3/1-124,SAMN06165552,19702233,S252
378,OYUC01.318.1_2/11-124,SAMN06165552,19702233,NA
379,OYUC01.318.1_1/1-95,SAMN06165552,19702233,NA
380,OQUL01.146329.1_2/1-137,SAMN06018976,NA,NA
381,OQUL01.120143.1_1/1-102,SAMN06018976,NA,NA
382,OQUL01.5270.1_6/27-293,SAMN06018976,NA,S918
383,OQUL01.3418.1_7/28-293,SAMN06018976,NA,S919
384,OQUL01.684.1_8/28-287,SAMN06018976,NA,S920
